日期,時間,條碼,商品名稱,價格
2026/07/26,21:11:38,4710088410191,科學麵-原味,10
2026/07/26,21:11:42,4710088410191,科學麵-原味,10
2026/07/26,21:19:26,4710088410191,科學麵-原味,10
2026/07/26,21:19:31,4710088410191,科學麵-原味,10
2026/07/26,21:19:55,4710095915207,純水-700mL,20
2026/07/26,21:19:58,4710095915207,純水-700mL,20
2026/07/26,21:23:05,4710095915207,純水-700mL,20
2026/07/26,21:23:06,4710095915207,純水-700mL,20
2026/07/26,21:23:08,4710095915207,純水-700mL,20
2026/07/26,21:23:20,4710095915207,純水-700mL,20
2026/07/26,21:23:25,4710095915207,純水-700mL,20
2026/07/26,21:23:29,4710095915207,純水-700mL,20
2026/07/26,21:31:23,4710018351501,雪碧-經典檸檬茶口味,39
2026/07/26,21:31:40,4710095915207,純水-700mL,20
2026/07/26,21:31:54,4710088410191,科學麵-原味,10
2026/07/26,21:37:06,4710088410191,科學麵-原味,10
2026/07/26,21:37:11,4710088410191,科學麵-原味,10
2026/07/26,21:37:13,4710088410191,科學麵-原味,10
2026/07/26,21:44:27,4710088410191,科學麵-原味,10
2026/07/26,21:44:33,4710088410191,科學麵-原味,10
2026/07/26,21:44:37,4710088410191,科學麵-原味,10
2026/07/26,21:44:39,4710088410191,科學麵-原味,10
2026/07/26,21:45:04,4710095915207,純水-700mL,20
2026/07/26,21:45:06,4710095915207,純水-700mL,20
2026/07/26,22:22:52,4710095915207,純水-700mL,20
2026/07/26,22:22:58,4710018351501,雪碧-經典檸檬茶口味,39
2026/07/26,22:23:11,4710088410191,科學麵-原味,10
2026/07/26,22:23:18,4710088410191,科學麵-原味,10
2026/07/26,22:36:15,4710018351501,雪碧-經典檸檬茶口味,39
2026/07/26,22:36:23,4710018351501,雪碧-經典檸檬茶口味,39
2026/07/26,22:36:36,4710088410191,科學麵-原味,10
2026/07/26,22:36:42,4710088410191,科學麵-原味,10
